representante_legal	razon_social	monto	fecha	description	razon_social_normalizada	node_id_panama_papers
wilson miguel pinilla ortega	impulsores internacionales sas	17118652	17 de october   de 2014  05:27 p.m.	alquiler de un equipo de ecografia, que incluya mantenimiento preventivo, correctivo y soporte tècnico para el hospital militar central	impulsores internacionales	10211803
luis javier cardona velàsquez	comercial internacional de equipos y maquinaria s.a.s.- navitrans s.a.s.	362000000	30 de october   de 2012  08:22 a.m.	adquirir una retroexcavadora y una volqueta para realizar obras de mantenimiento vias urbanas y rurales del municipio de cajicá	navitrans	10051770,10148707
nelson rios villamizar	disico s.a.	24000000	12 de mayo de 2014	asistencia técnica de seccionadores para la campaña de perforación 2014 del proyecto chichimene correspondiente a la superintendencia de operaciones castilla ¿ chichimene de ecopetrol s.a.	disico	10163683,10163694
nestor diego villegas hurtado	navitrans s.a.s.	4225683	18 de february  de 2014  04:33 p.m.	prestar los servicios para realizar el mantenimineto preventivo y correctivo a todo costo  de la retroexcavadora 590 ¿ super n de propiedad del  municipio   de alpujarra tolima	navitrans	10051770,10148707
carlos alfonso romero zarama	comercial internacional de equipos y maquinaria s.a.s. ¿ navitrans s.a.s	430000000	31 de december  de 2015  10:16 a.m.	adquisición de dos buses para el transporte de los estudiantes de las instituciones y centros educativos del municipio de guachucal - departamento de nariño	navitrans	10051770,10148707
luis javier cardona velasquez	comercial de equipos y maquinaria  s.a.s navitrans s.a.s	460000000	15 de october   de 2013  12:16 p.m.	compraventa de un motoniveladora modelo 2014 para fortalecer el parque automotor del municipio de nilo cundinamarca	navitrans	10051770,10148707
diego fernando rivera giraldo	navitrans	815909	15 de febrero de 2012	realizar el mantenimiento preventivo, por cumplimento de las 7.000 kilómetros  de servicio de  la volqueta de marca international de placas ocm 182, de propiedad del municipio de combita	navitrans	10051770,10148707
julian ricardo russi ramirez	impulsores internacionales sas	23060000	05 de november  de 2015  05:29 p.m.	suministro de material rayos x y medico quirurgico para la ese hospital departamental san antonio de pitalito huila	impulsores internacionales	10211803
jose antonio mejia nuñez	navitrans s.a.s	580000000	20 de october   de 2015  06:28 p.m.	adquisición de una maquinaria tipo motoniveladora para realizar recuperación y mantenimiento de la vías rurales del municipio de anserma (caldas)	navitrans	10051770,10148707
nestor diego villegas hurtado	navitrans s.a.s	6620303	23 de october   de 2012  02:55 p.m.	mantenimiento preventivo y correctivo de la retroexcavadora case 580sm por 3000 horas de servicio con suministro de repuestos y aceites, según el detalle	navitrans	10051770,10148707
jose antonio mejia nuñez	comercial internacional de equipos y maquinaria s.a. ¿navitrans s.a¿	1125240	09 de noviembre de 2011	orden de suministro  y  en  mantenimiento preventivo  de  vehículo tipo  retroescavadora adquirida mediante contrato   suscrito con la firma navitran  cuyo objeto es ¿¿ por medio del presente contrato de compraventa el contratista se obliga a entregar a plena satisfacción del  la entidad contratante  el siguiente bien:  suministro de una (1) maquina  tipo retroexcavadora marca case 580 n, sobre llantas con destino al servicio del contratante  de la celia risaralda, con las especificaciones técnicas indicadas en la propuesta presentada, las cuales hacen parte integral del contrato¿¿	navitrans	10051770,10148707
carlos alfonso romero zarama	comercial internacional de equipos y maquinarias s.a.s. navitrans s.a.s.	165000000	21 de january   de 2014  02:16 p.m.	suministro de vehículo tipo volqueta para el apoyo al mejoramiento de la infraestructura vial y social del municipio de la florida nariño	navitrans	10051770,10148707
ivonny tietje chivata	disico s.a.	395695424	06 de august    de 2007  04:25 p.m.	construccion de linea sy redes electricas en las veredas arauca 1 y vereda el palmar del municipio de san agustin del departamento del huila	disico	10163683,10163694
navitrans	navitrans	14962310	23 de august    de 2011  11:56 a.m.	suministro de kit de motor, kit de caja y kit de trasmision de la volqueta de placas tdm 236 de propiedad de la alcaldia municipal de gualmatan.	navitrans	10051770,10148707
diego fernando rivera giraldo	navitrans s.a	1351506	30 de november  de 2011  05:03 p.m.	mano de obra y suministros para los vehículos panel: microbus  volkswagen de placas 180059, y microbus volkswagen de placa 180431 de propiedad de la policía nacional, comando local del municipio de paipa..	navitrans	10051770,10148707
ricardo de jesus duque pelaez	comercial internacional de equipos y maquinaria s.a. ¿navitrans s.a.	337000000	06 de april     de 2011  08:26 a.m.	compra de dos (2) vehìculos tipo volqueta para el municipio de ituango	navitrans	10051770,10148707
andrés duque pelaez	navitrans s.a	167000000	12 de november  de 2009  04:32 p.m.	¿suministro de una volqueta 4300 4x2, modelo 2009-2010, cero kilometros, para el mantenimiento de la malla vial del municipio de   ventaquemada, boyaca¿	navitrans	10051770,10148707
nestor diego villegas hurtado	navitrans s.a.s.	10117471	04 de august    de 2015  02:44 p.m.	suministro de repuestos con destino a la retroexcavadora 590 ¿ super n de propiedad del municipio de alpujarra tolima	navitrans	10051770,10148707
julian ricardo russi ramirez	impulsores internacionales sas	70000000	27 de noviembre de 2014	la ese hospital santa monica  presta los servicios  de imaginología y dentro  de su dotación  cuenta con equipo de rayos x fijo,  pero no dispone de un equipo  de rayos x portátil  que le permita  realizar  estudios  sin necesidad  de trasladar  al usuario  hasta el área  de imagenologia. haciéndose necesario  contar con este equipo  a fin  de prestar  el servicio  con calidad  principalmente  al paciente critico	impulsores internacionales	10211803
jose antonio mejia nuñez	comercial internacional de equipos y maquinaria s.a.s (navitrans s.a.s)	1986581	22 de august    de 2015  09:27 a.m.	contratar los servicios de mano de obra a todo costo en el mantenimiento de la volqueta oue 549 de propiedad del municipio, la cual es utilizada para hacerle mantenimiento a las vias carreteables del municipio¿	navitrans	10051770,10148707
carlos alfonso romero zarama	navitrans s.a.s.	11004602	01 de october   de 2014  09:55 a.m.	el municipio requiere contratar el suministro de insumos y repuestos para la revisión y mantenimiento del retrocargador case 580sm de propiedad del municipio de funes ¿ nariño	navitrans	10051770,10148707
miryam bustamante gutierrez	velez lab	4170000	19 de junio de 2014	suministro de insumos y reactivos para la seccion de sedimentacon globular del laboratorio clinico de la clinica de la policia regional valle de aburra	velez lab	10053876
carlos alfonso romero zarama	comercial internacional de equipos y maquinaria s.a.s navitrans s.a.s	261000000	20 de june      de 2013  08:52 a.m.	la compra de maquinaria pesada (volqueta doble troque) para el mantenimiento de la red vial en el corregimiento de jardines de sucumbios, municipio de ipiales, departamento de nariño	navitrans	10051770,10148707
luis javier cardona velasquez	comercial internacional de equipos y maquinarias sas - navitrans sas	5238817974	01 de august    de 2013  11:19 a.m.	adquisición de veintiseis (26) volquetas 4x2 con volco de 7 mt3, dos (2) tractocamiones 6x4 con su respectivo trailer tipo cama baja de dos ejes para transporte de maquinaria, para las unidades de atencion de la red vial terciaria y secundaria del departamento de boyaca¿¿	navitrans	10051770,10148707
luis javier .cardona velasquez	comercial internacional de equipos s.a.s navitrans	160000000	10 de july      de 2014  11:17 p.m.	compra de volqueta para el mantenimento rutinario de vias del municipio de puli cundinamarca	navitrans	10051770,10148707
luis javier arango hoyos	comercial internacional de equipos y maquinaria s.a.s. navitrans s.a.d	70000000	20 de enero de 2015	servicio de mantenimiento preventivo y correctivo con suministro de repuestos e insumos a los vehículos marca internacional, case y agrale	navitrans	10051770,10148707
luis javier cardona velasquez	comercial internacional de equipos y maquinaria s.a.s - navitrans s.a.s	5643675000	25 de june      de 2015  08:40 a.m.	adquisicion de gruas tipo rescate destinadas a la direccion de transito de la policia nacional que apoya el programa de seguridad en carreteras nacionales del invias	navitrans	10051770,10148707
nestor diego villegas hurtado	navitrans.	9303009	20 de february  de 2014  11:04 a.m.	adquision e instalacion a todo costo de llantas y accesorios para la volqueta international de placas oig215 del municipio de carmen de apicala tolim	navitrans	10051770,10148707
ernesto sussmann peña y hector jaime franco florez	rx s.a. y impulsores internacionales ltda	53629026	10 de december  de 2008  10:37 a.m.	suministro de insumos parael servicio de imagenologia de la clinica de la policia regional caribe	impulsores internacionales	10211803
carlos alfonso romero zarama	navitrans s.a.s	1500000	01 de october   de 2013  07:21 p.m.	el suministro de repuestos y accesorios para la maquina casse 580 sm de propiedad del municipio de funes - nariño	navitrans	10051770,10148707
luis  javier  cardona  velasquez	navitrans	14809876	03 de december  de 2012  05:01 p.m.	adquisicion de  bienes  y  servicio para el mantenimiento de  la retroexcavadora de propiedad del municipio, utilizada en  el mejoramiento y rehabilitacion  de  vias	navitrans	10051770,10148707
ricardo de j  duque pelaez	comercial internacional de equipos y maquinaria -navitrans s.a.s	270000000	19 de october   de 2011  07:06 p.m.	adquisicion de vehiculo recolector compactador de residuos solidos para el municipio de hispania-antioquia	navitrans	10051770,10148707
josé antonio mejía núñez	comercial internacional de equipos y aquinaria s.a.s. ¿navitrans s.a.s¿ ¿ agencia dosquebradas	4959813	24 de july      de 2015  11:58 a.m.	suministro de insumos y servicio de mantenimiento preventivo y correctivo del vehículo compactador de residuos sólidos propiedad del municipio de marmato	navitrans	10051770,10148707
carlos alfonso romero zarama	comercial internacional de equipos y maquinaria s.a.s.-navitrans s.a.s.	9250000	13 de december  de 2012  01:06 p.m.	suministro de llantas para la volqueta y la retroexcavadora cargadora de propiedad del municipio de san lorenzo nariño	navitrans	10051770,10148707
ricardo de jesus duque pelaez	navitrans s.a.s	418760	17 de april     de 2015  08:09 a.m.	compra de 2 rines para realizar reposición al vehiculo recolector oax 013	navitrans	10051770,10148707
jhon jary delgado lozano	comercializadora internacional de equipos y maquinaria s.a.s navitrans s.a.s, representada legal men	465000000	21 de december  de 2015  11:45 a.m.	compraventa de motoniveladora para el mantenimiento de las vias terciarias del municipio de la vega cauca.	navitrans	10051770,10148707
ricardo de jesus duque pelaez	comercial internacional de equipos y maquinaria s.a. ¿ navitrans s.a.	236000000	06 de julio de 2011	adquisición de vehículo recolector de residuos sólidos como medio de apoyo para el municipio valle de san juan.	navitrans	10051770,10148707
nestor diego villegas hurtado	navitrans sas	336840000	27 de november  de 2013  03:56 p.m.	compra de dos (2) volquetas para la adecuación mantenimiento y rehabilitación de las vías del municipio de melgar.	navitrans	10051770,10148707
carlos alfonzo romero zarama	comercial internacional de equipos y maquinarias s.a.s  ¿navitrans s.a.s¿	485000	28 de april     de 2012  06:24 p.m.	prestación de servicios para el  mantenimiento y reparación del automotor (volqueta) de placas ocl371, marca inter, de propiedad del municipio de leiva (n).	navitrans	10051770,10148707
luis javier cardona velasquez	navitrans	570000	15 de october   de 2015  11:27 a.m.	suministro de aceites y lubricantes para la retroexcavadora ¿case¿ propiedad del municipio de ubaque	navitrans	10051770,10148707
nelson rios villamizar	disico s.a.	512000000	12 de mayo de 2014	suministro de seccionadores para la campaña de perforación 2014 del proyecto chichimene correspondiente a la superintendencia de operaciones castilla ¿ chichimene de ecopetrol s.a.	disico	10163683,10163694
luis javier arango hoyos	comercial internacional de equipos y maquinaria s.a.s -navitrans	196048000	01 de january   de 2016  02:17 p.m.	compra de un vehículo tipo volqueta nueva  doble troque, que ayude a  mejorar, atender  y ampliar el mantenimiento de las diferentes vías urbanas y rurales del municipio de frontino.	navitrans	10051770,10148707
ricardo duque peláez	navitrans s.a.	160000000	14 de may       de 2008  12:41 p.m.	adquisicion de un vehiculo tipo volqueta	navitrans	10051770,10148707
luis javier arango hoyos	navitrans s.a.s	711114	13 de october   de 2015  11:01 a.m.	cambio de aceite de motor y revision del camion compactador	navitrans	10051770,10148707
alvaro velez osorio	velez lab s..a	2882379030	11 de december  de 2008  10:33 a.m.	suministro de insumos y reactivos con destino al laboratorio clinico del hospital central de la policia nacional	velez lab	10053876
luis javier cardona velasquez	navitrans - sucursal bogotá	95000000	08 de junio de 2012	compra de repuestos marca case para la reparaciòn de los equipos de ingenieros de combate (minicargador 445 mod. 2004 y 2006) del ejército nacional a través del batallón de mantenimiento de ingenieros no. 40 ¿general josé ramón de leyva¿	navitrans	10051770,10148707
nestor diego villegas hurtado	comercial internacional de equipos y maquinaria navitrans s.a.	11401937	28 de december  de 2015  04:30 p.m.	reparacion de la maquinaria retroexcavadora 590sn- serie jjgn59sredc592032 del municipio de san agustin	navitrans	10051770,10148707
luis javier cardona velasquez,	comercial internacional de equipos y maquinaria s.a.s ¿ navitrans s.a.s	155500000	29 de december  de 2012  05:57 p.m.	el contrato que se pretende celebrar, tendrá por objeto: contratar la adquisición de una volqueta, para el  apoyo de la gestión de las diferentes actividades de la administración local, de acuerdo con los estudios previos, anexo técnico, pliego de condiciones y propuesta presentada	navitrans	10051770,10148707
luis javier cardona velazquez	navitrans s.a.s	14000000	28 de agosto de 2013	prestación de servicios de mantenimiento integral preventivo y correctivo para los vehiculos maquinaria pesada con los que cuenta el municipio de sahagún en calidad de lñocatario en virtud delcontrato de leasing suscrito ante el municipio y el banco de occidente.	navitrans	10051770,10148707
ricardo de jesus duque pelaez	comercial internacional de equipos y maquinaria navitrans s.a.s	50000000	15 de enero de 2014	mantenimiento preventivo y correctivo de los vehículos de marca international del parque automotor del cuerpo oficial de bomberos de medellín	navitrans	10051770,10148707
alvaro velez osorio	velez lab s.a.s.	72870840	06 de april     de 2015  02:20 p.m.	suministro de automatizadas para la determinacion de crecimiento bacteriano en muestras de orina.	velez lab	10053876
josé antonio mejía nuñez	navitrans s.a.	1900000000	23 de february  de 2009  10:20 a.m.	contrato para la adquisición de maquinaria pesada y de volquetas para el desarrollo de los procesos de infraestructura vial y fisica en el municipio de pereira	navitrans	10051770,10148707
luis javier cardona velasquez	navitrans s.a	150000000	06 de february  de 2010  04:33 p.m.	adquisición de una volqueta de 7 mt3, modelo 2010 sujeta a las especificaciones tecnicas contenidas en el pliego de condiciones.	navitrans	10051770,10148707
jhon jary delgado lozano	comercial internacional de equipos y maquinaria ¿ navitrans s.a.s	6963559	15 de december  de 2012  11:19 a.m.	servicio de mantenimiento y reparación de la retroexcavadora marca case 580 sn (incluye reposición de dos inyectores y reparación de la bomba de inyección de carburante).	navitrans	10051770,10148707
ricardo de jesus duque pelaez	navitrans s.a	3789019	10 de abril de 2008	suministro de repuestos para la reparacion de la retroexcavadora  del municipio de san vicente que realiza trabajos en el mantenimiento de las vias rurales.	navitrans	10051770,10148707
ricardo de jesus duque pelaez	navitrans s.a.s.	802480600	30 de june      de 2015  04:40 p.m.	adquisición de maquinaria de obras públicas, para el municipio de buenavista, córdoba	navitrans	10051770,10148707
antonio ramiro mejia builes	comercial internacional de equipos y maquinarias s.a.s - navitrans s.a.s	226000000	02 de january   de 2012  09:54 a.m.	adquisición  de   bus escolar  para  el servicio de transporte de estudiantes de la institucion educativa tecnica agropecuaria indigena panan del municipio de cumbal  nariño	navitrans	10051770,10148707
alvaro velez osorio	velez lab y cia s.a.	202260185	10 de may       de 2007  04:18 p.m.	suministro de insumos necesarios para el laboratorio de hormonas y marcadores tumorales con equipo automatizado en apoyo tecnologico con destino a los usuarios del subsistema de salud de la policia nacional	velez lab	10053876
comercial internacional de equipos y maquinaria s.a. - navitrans s.a	comercial internacional de equipos y maquinaria s.a. - navitrans s.a	2049488	26 de september de 2011  05:28 p.m.	suministro de repuestos para el mantenimiento de maquinaria pesada que labora en la adecuacion de la via que conduce al relleno sanitario del municipio de samaniego	navitrans	10051770,10148707
jose  antonio mejia	comercial internacional de equipos y maquinaria s.a.s -navitrans s.a.s	261118089	25 de may       de 2015  03:29 p.m.	adquisicion por medio de contrato de compraventa, de un (1) vehiculo recolector compactador de residuos solidos para el municipio de el cairo ¿ valle, incluidos matricula, impuestos, simbolos, listo para entrar en operaciòn.	navitrans	10051770,10148707
nelson ríos villamizar	disico s.a.	2519999990	24 de octubre de 2007	contratar en nombre de la nación consejo superior de la judicatura, el suministro y capacitación del software de grabación de audiencias de audio y video y audio para la implementación de la fase iv y la continuación de las fases i, ii y iii del sistema penal acusatorio así como para la implementación de la oralidad en lo disciplinario para las direcciones seccionales y en la especialidad de justicia y paz, por el sistema de precio global fijo	disico	10163683,10163694
luis german anchundia pelaez	navitrans s.a	1608835	22 de august    de 2011  10:24 a.m.	suministro de repuestos y mano de obra para volqueta  proiedad de el municipio de el bagre.	navitrans	10051770,10148707
julian ricardo russi ramirez	impulsores internacionales sas	29889720	01 de octubre de 2013	el hospital la victoria iii nivel de atenciòn contempla en su plan de compras el suministro contìnuo y permanente de insumos varios (material medico quirurgico), los cuales son indispensables para la prestaciòn de los servicios de salud en las diferentes àreas asistenciales del hospital la victoria iii nivel empresa social del estado y la sede materno infantil	impulsores internacionales	10211803
julian ricardo russi ramirez	impulsores internacionales sas	2027680	11 de may       de 2015  07:54 a.m.	suministro material medico quirurgico para la ese hospital departamental san antonio de pitalito	impulsores internacionales	10211803
luis javier cardona velasquez	comercial internacional de equipos y maquinaria s.a navitrans	90344988	26 de december  de 2008  06:22 p.m.	contratar  por el sistema de subasta inversa la adquisición de un minicargador para la secretaria de infraestructura grupo de aseo	navitrans	10051770,10148707
luis javier cardona velasquez	comercial internacional de equipos y maquinas  ¿navitrans s.a.s.¿	261000000	10 de august    de 2012  05:18 p.m.	aquisicion de una reteroexcavadora de llanta con destino al municipio de sora boyaca	navitrans	10051770,10148707
luis javier cardona  velásquez	comercializadora internacional de equipos y maquinas s.a.s (navitrans)	436000000	29 de december  de 2013  03:48 p.m.	adquision de maquinaria pesada (dos (2) volquetas) ¿ ejecucion proyecto mantenimiento malla vial rural -  municipio de uribe - meta	navitrans	10051770,10148707
wilson miguel pinilla ortega	impulsores internacionales sas	220000000	11 de august    de 2015  11:02 a.m.	suministro de equipos de radiologia para el hospital tegional del líbano.	impulsores internacionales	10211803
marvin jair  mosquera	fundacion caminos del futuro	371498959	08 de octubre de 2013	aunar esfuerzo entre el municipio de tumaco y la fundacion caminos del futuro para la construccion y dotacion de 11 unidades productivas pisciculas con 80 familias del municipio de tumaco.	caminos del futuro	10208688
luis javier cardona velásquez	comercial internacional de equipos y maquinaria s.a.s - navitrans s.a.s.	546245215	16 de december  de 2015  04:10 p.m.	adquisición de vehículos de carga tipo volqueta para el mantenimiento de los cuerpos de agua del municipio de soacha	navitrans	10051770,10148707
luis javier cardona velasquez	comercial internacional de equipos y maquinaria s.a.s.navitrans s.a.s	175000000	18 de june      de 2013  02:12 p.m.	adquisicion de maquinaria pesada una (1) volqueta ¿  ejecucion proyecto mantenimiento malla vial rural  municipio de la macarena - meta	navitrans	10051770,10148707
alvaro velez osorio	velez lab s.a.s.	63892800	08 de agosto de 2014	suministro de pruebas automatizadas para la deteminacion de crecimiento bacteriano en muestras de orina	velez lab	10053876
luis javier cardona velasquez	navitrans s.a.s	250000000	14 de november  de 2013  10:05 a.m.	adquisición de una (1) retroexcavadora para ponerla a disposición del municipio de  san  eduardo boyaca	navitrans	10051770,10148707
myriam bustamante gutierrez	velez lab s.a.s	10829760	14 de august    de 2015  08:13 a.m.	suministro de insumos y reactivos  del laboratorio clínico para la sección de sedimentación globular, con equipo en apoyo tecnológico para la seccional sanidad antioquia de la policía nacional	velez lab	10053876
luis javier cardona velaquez	proponente comercial internacional de equipos y maquinaria s.a.s. ¿ navitrans s.a.s.	573780000	29 de april     de 2015  11:09 a.m.	¿compra de máquina motoniveladora con el fin de fortalecer el banco de maquinaria del municipio de aquitania¿	navitrans	10051770,10148707
luis javier cardona velasquez	comercial internacional de equipos y maquinaria s.a.s - navitrans sas	158480000	08 de august    de 2013  10:44 a.m.	compraventa de una (1) volqueta para ponerla a disposición del municipio de viracacha boyaca (mejoramiento en la atención de emergencias y obras de mitigación).	navitrans	10051770,10148707
nestor diego villegas hurtado	navitrans s.as	265000000	09 de january   de 2015  03:49 p.m.	mejoramiento de la gestion de residuos solidos, mediante la adquisicion de un vehiculo recolector  compactador de basuras en el municipio de fresno¿	navitrans	10051770,10148707
julian ricardo russi ramirez	impulsores internacionales sas	30000000	09 de october   de 2015  09:16 a.m.	suministro por parte del contratista de placas e insumos para rayos x en las calidades, especificaciones tecnicas, cantidades y valores de conformidad al soporte económico y precios del mercado establecidos en los estudios previos, los precios ofertados tendrán vigencia durante el plazo de ejecución del mismo	impulsores internacionales	10211803
diego fernando rivera  giraldo	comercial internacional  de equipos y maquinaria s.a.s ( navitrans )	14524289	06 de may       de 2015  12:18 p.m.	mantenimiento de volqueta de placas ogg 568 perteneciente al fondo de maquinaria del municipio de chitaraque	navitrans	10051770,10148707
ricardo de jesus duque pelaez	navitrans s.a	270000000	16 de december  de 2011  03:43 p.m.	adquisicion de vehiculo recolector compactador de residuos solidos	navitrans	10051770,10148707
luis javier cardona velasquez	navitrans sas	961954	28 de august    de 2015  06:54 p.m.	suministro de repuestos con destino al mantenimiento y reparación de la volqueta de placas odr-493, de propiedad del municipio de nimaima	navitrans	10051770,10148707
laura cuevas serrano	transportes calderon s.a.	1453500000	27 de january   de 2015  09:47 a.m.	suministro del servicio de transporte escolar para  estudiantes de la i.e. oficial villas de san ignacio, reubicados por el hundimiento de la via palenque ¿ café madrid a las i.e. oficiales club union, maipore y santander	transportes calder	10170683
ricardo duque pelaez	navitrans sa	230000000	19 de may       de 2011  11:03 a.m.	compra de vehiculo tipo bus torpedo, cero kilometros, modelo 2011, con capacidad minima para 37 pasajeros	navitrans	10051770,10148707
elizabeth rey moreno	u.t links s.a.- disico s.a.	200000000	06 de julio de 2005	contratacion para el mejoramiento  de la plataforma a nivel servidor, con cargo al proyecto de sistematizacicon integral del sistema penitenciario y carcelario.	disico	10163683,10163694
jose antonio mejia nuñez	navitrans	9661614	30 de april     de 2015  11:50 a.m.	contratación para el mantenimiento correctivo de la retroexcavadora case 590 de propiedad del municipio de aranzazu - caldas	navitrans	10051770,10148707
luis javier cardona velasquez	navitrans s.a.s	4000000	18 de may       de 2012  03:38 p.m.	suministro de repuestos maquinaria pesada(motoniveladora case 845)	navitrans	10051770,10148707
wilson miguel pinilla ortega	impulsores internacionales s.a.s.	23667770	30 de october   de 2015  11:21 a.m.	suministro de imágenes diagnósticas concernientes a películas secas impresión digital	impulsores internacionales	10211803
humberto de jesús duque peláez	comercial internacional de equipos y maquinaria s.a.s (navitrans s.a.s)	1321500000	06 de june      de 2013  05:56 p.m.	adquisición de maquinaria de obras públicas, para el municipio de caucasia, antioquia	navitrans	10051770,10148707
luis javier arango hoyos	comercial internacional de equipos  y maquinaria s.a.s navitrans	331900000	09 de octubre de 2014	compraventa de un (1) vehículo recolector ¿ compactador de residuos sólidos de cargue trasero con capacidad de 20 a 22 yardas cúbicas (20 a 22 yd³) para la prestación del servicio de aseo que opera la empresa de servicios publicos	navitrans	10051770,10148707
andres duque pelaez	navitrans sa	264100216	07 de octubre de 2010	adquisición de repuestos y servicio de mantenimiento para los equipos marca case que son empleados en la ejecución del proyecto transversal la macarena	navitrans	10051770,10148707
julian ricardo russi ramirez	impulsores internacionales s.a.s.	2042470	23 de october   de 2015  10:01 a.m.	adquisicion de material de rayos x para el desarrollo de las actividades de los procesos asistenciales en la ips de valparaiso de la ese fabio jaramillo londoño.	impulsores internacionales	10211803
jhon jary delgado lozano	comercial  internacional de equipos y maquinaria sigla navitrans s.a.s,	158000000	20 de september de 2012  06:22 p.m.	compra de una volquea  de siete (7) metros cúbicos para el mantenimiento de las vías del municipio y atender las necesidades de la secretaria de planeaciòn de municipio	navitrans	10051770,10148707
laura cuevas serrano	transportes calderon sa.	2496500000	27 de january   de 2015  09:40 a.m.	contratar  la  prestacion del  servicio especial de transporte  escolar para la poblacion estudiantil vulnerable de primaria y secundaria de las instituciones educativas oficiales del municipio de bucaramanga	transportes calder	10170683
jhon jary delgado lozano	comercial internacional de equipos y maquinaria s.a.s. / navitrans s.a.s.	182000000	12 de june      de 2013  10:37 p.m.	adquisición y compra de una (1) volqueta de eje sencillo de 7 metros cúbicos, equipos nuevos, color blanco, con seguro todo riesgo y soat vigentes, matriculados, para el municipio de santa rosa, cauca	navitrans	10051770,10148707
nelson rios villamizar	disico s.a	23879650	23 de julio de 2014	¿compra de materiales a prueba de explosión requeridos para  gerencia refineria barrancabermeja y vit  de  ecopetrol s.a¿.	disico	10163683,10163694
nelson rios villamizar	union temporal disico-tch 2011	791491200	08 de febrero de 2011	prestación del servicio de apoyo en la gestión documental y organización de archivos en las diferentes dependencias del ministerio de relaciones exteriores y su fondo rotatorio.	disico	10163683,10163694
jose antonio mejia nuñez	navitrans s.a.s	666700000	13 de december  de 2013  05:14 p.m.	compraventa motoniveladora y volqueta que permita llevar a cabo el mantenimiento preventivo y correctivo de la malla vial del municipio de pacora caldas	navitrans	10051770,10148707
humberto de jesus duque pelaez	navitrans s.a	9364657	03 de october   de 2011  06:07 p.m.	servicio de mantenimiento  preventivo de 2.500 horas maquinaria nueva de propiedad del municipio de sabana de torres	navitrans	10051770,10148707
navitrans internacional s.a	navitrans internacional s.a	13722539	13 de diciembre de 2005	entregar a titulo de venta los repuestos para la reparacion del cargador case w-14	navitrans	10051770,10148707
luis cardona velazquiez	navitrans	5753588	13 de march     de 2013  06:06 p.m.	¿servicio de reparación y mantenimiento de la retroexcavadora y volqueta propiedad del municpio de la victoria (incluye repuestos)¿	navitrans	10051770,10148707
jose antonio mejia nuñez	comercial internacional de equipos y maquinaria s.a.s navitrans s.a.s	550000000	19 de june      de 2013  05:46 p.m.	adquisición de maquinaria pesada, dos (2) volquetas con volco de 7 m3 y una retroexcavadora, que permita llevar a cabo  el  mantenimiento  preventivo y correctivo de la malla vial rural  del municipio de norcasia caldas	navitrans	10051770,10148707
luis javier cardona velasquez	navitrans s.a.s.	158150000	23 de january   de 2013  09:32 a.m.	adquisicion de una volqueta modelo 2013 para fortalecer el parque automotor del municipio de nilo cundinamarca	navitrans	10051770,10148707
nestor villegas	navitrans	1400000	08 de august    de 2011  09:57 a.m.	realizar el mantenimiento preventivo a la maquinaria pesada tipo retroexcavadora de propiedad del municipio de alpujarra tolima.	navitrans	10051770,10148707
juan jose ferreira sandino	consorcio cyg - disico - proing ipiales	58483843241	31 de december  de 2014  11:51 a.m.	construccion de un sector de mediana seguridad y obras conexas en el establecimiento penitenciario de mediana seguridad y carcelario epmsc ipiales ¿ nariño, mediante el sistema de precios unitarios fijos sin formula de reajuste. de acuerdo con los estudios, diseños, planos y especificaciones suministrados por la uspec.	disico	10163683,10163694
jhon jary delgado lozano	comercial internacional de equipos y maquinaria s.a.s. -navitrans s.a.s.	3860592311	10 de february  de 2015  06:15 a.m.	adquisición  de  maquinaria  y  vehículos  nuevos  destinada  al mantenimiento  y mejoramiento de las vías rurales para reducir  el riesgo, prevenir y atender emergencias viales en el departamento del valle del cauca	navitrans	10051770,10148707
ricardo duque pelaez	navitrans s.a	130000000	25 de october   de 2010  12:55 p.m.	compra de combustible, lubricantes y repuestos para los vehiculos de la admministracion municipal y la estacion de policia.	navitrans	10051770,10148707
carlos alfonso romero zarama	navitrans	15223379	30 de july      de 2014  06:51 p.m.	suministro de repuestos con destino mantenimiento de maquinaria pesada al servicio del mantenimiento de vías municipio de iles	navitrans	10051770,10148707
jhon jary delgado lozano	navitrans s.a.s.	275890000	07 de january   de 2015  04:50 p.m.	el contratista se compromete para con el departamento del cauca, a transferir a titulo de compraventa, un vehículo tipo volqueta, de conformidad con las especificaciones establecidas por la entidad.	navitrans	10051770,10148707
sandra milena arango vallejo	bbb equipos s.a.	1500000000	05 de december  de 2011  03:01 p.m.	¿adquisicion de maquinaria amarilla, vehiculos de transporte de material, remolques, vehículo escolta y herramientas de mano para la alcaldia local rafael uribe uribe¿	bbb	10161652
luis javier cardona velasquez	navitrans	157300000	04 de january   de 2013  08:22 a.m.	adquisicion de un vehiculo tipo volqueta nuevo destinado para la construccion, mejoramiento y rehabilitacion de la red vial rural del municipio de fusagasuga	navitrans	10051770,10148707
manuela duque meza	comercial internacional de equipos y maquinaria s.a.s  ¿navitrans s.a.s¿	399039408	03 de september de 2013  11:33 a.m.	adquisicion de dos (02) volquetas para el mantenimineto vial del municipio de santa rosa del sur - bolivar	navitrans	10051770,10148707
