representante_legal	razon_social	monto	fecha	description	razon_social_normalizada	node_id_panama_papers
luis javier cardona velasquez	comercial internacional de equipos y maquinaria s.a. - navitrans s.a.	2080576000	26 de june      de 2007  11:28 a.m.	adquisición, mantenimiento y reparacion de maquinaria pesada y véhiculos tipo volqueta para los diferentes programas que ejecuta el departamento	navitrans	10051770,10148707
nelson rios villamizar	disico s.a.	248397760	05 de marzo de 2014	suministro  de seccionador tripolar para el pórtico de la subestación del piloto de inyección de aire, de la superintendencia de operaciones castilla chichimene pertenecientes a la gerencia central ubicados en el departamento del meta	disico	10163683,10163694
nelson rios villamizar	disico s.a.	1107375347	15 de april     de 2010  11:07 a.m.	construccion de redes  electricas de media y baja tension en la urbanizacion perlas del manacacias, area urbana del  municipio de puerto gaitan, departamento del meta	disico	10163683,10163694
nelson rios villamizar	disico s.a	103170076	14 de september de 2015  02:29 p.m.	consultoria para la cuantificacion de las emisiones sensoriales y quimicas de olores ofensivos en la estacion acacias de la gerencia de operaciones de desarrollo y produccion castilla de ecopetrol s.a	disico	10163683,10163694
jhon jary delgado lozano	navitrans s.a.s	1300000000	30 de december  de 2015  10:44 a.m.	adquisicion de maquinaria amarilla con destino al mantenimiento de vias del municipio de inza (cauca)	navitrans	10051770,10148707
andres de jesus duque pelaez	navitrans s.a.	3620000000	23 de diciembre de 2010	mantenimiento equipo de transporte (volkswagen)	navitrans	10051770,10148707
nestor diego villegas hurtado	navitrans	3301880	03 de noviembre de 2012	mantenimiento preventivo correspondiente a las 3000 horas de uso, a la máquina case retrocargador 590sn de propiedad del municipio valle de san juan.	navitrans	10051770,10148707
ricardo de jesús duque pelaez	comercial internacional de equipos y maquinaria s.a.s. navitrans s.a.s.	455590997	06 de agosto de 2014	compra  de un (1) vehículo tipo volqueta 7 m3 y un (1) vehículo tipo volqueta 6x4  14 m3	navitrans	10051770,10148707
julian ricardo russi ramirez	impulsores internacionales ltda	23824741	11 de march     de 2015  03:48 p.m.	el hospital la victoria iii nivel empresa social del estado de atención  tendrá como referencia del mercado la negociación conjunta  no. 1   de medicamentos y  la n. 2 del 2014 de insumos y dispositivos medico quirúrgico con el hospital santa clara  iii nivel  y como base  tendrá  el  plan de compras  de la vigencia 2015 para  el suministro continuo y permanente de medicamentos,  dispositivos médicos  e insumos  para la prestación de los servicios de salud en las diferentes áreas asistenciales del hospital la victoria  y la sede materno infantil	impulsores internacionales	10211803
luis javier cardona velasquez	navitrans s.a.s.	185000000	04 de december  de 2014  06:57 p.m.	adquisición de una (1) volqueta y accesorios, para ponerla a disposición del municipio de  san  eduardo- boyaca.	navitrans	10051770,10148707
julian russi ramirez	impulsores internacionales s.a.s	2180000	30 de december  de 2014  10:46 a.m.	suministro de semillas para la elaboración de  huertas caseras para la seguridad alimentaria a 60 familias victimas del conflicto armado residentes en el municipio de belen de umbria	impulsores internacionales	10211803
carlos alberto romero zarama	navitrans s.a.s.	675009	16 de october   de 2014  11:15 a.m.	el municipio requiere contratar el suministro de repuestos para la retroexcavadora sobre orugas marca casse 130b de propiedad del municipio de funes ¿ nariño	navitrans	10051770,10148707
andres duque pelaez	comercial internacional de equipos y maquinaria - navitrans s.a	160000000	11 de june      de 2011  08:04 p.m.	adquisicion de una volqueta modelo 2011 para el fondo de maquinaria del municipio de miraflores boyaca	navitrans	10051770,10148707
luis javier cardona velásquez	navitrans s.a.s.	170000000	31 de july      de 2014  04:12 p.m.	compraventa de una volqueta nueva municipio de ciénega (boyacá)	navitrans	10051770,10148707
luis javier cardona velasquez	comercial internacional de equipos y maquinaria  ¿navitrans s.a.s.¿	280000000	25 de august    de 2014  09:04 a.m.	compraventa de un (1) vehículo recolector - compactador de residuos sólidos decargue trasero con capacidad no inferior a 16 yardas cúbicas	navitrans	10051770,10148707
navitrans y/o luis javier cardona	navitrans y/o luis javier cardona	3080740	14 de abril de 2010	mantenimiento preventivo periodo mil horas vehiculo retro cargadora 590sm que hace el mantenimiento der las vias del municipio de san pedro de cartago nariño	navitrans	10051770,10148707
luis javier cardona velasquez	comercial internacional de equipos y maquinas s.a.s navitrans sas	3380917000	23 de noviembre de 2012	adquisicion de equipo de cobate en cumplimiento de la politica de consolididacion nacional para unidades tacticas de ingenieros	navitrans	10051770,10148707
andres duque pelaez	navitrans s.a.	1205000000	03 de january   de 2014  02:44 p.m.	adquisición de volquetas sencillas y doble troque ultimo año  de fabricación con destino a los bancos de maquinara municipal para la ejecucion del convenio  interadministrativo 071 de 2010	navitrans	10051770,10148707
laura cuevas serrano	transportes calderon s.a	84188160	29 de agosto de 2014	entregar en alquiler camionetas a todo costo para poyo en el area administrativa de la empas s.a.	transportes calder	10170683
luis javier cardona velásquez	comercial internacional de equipos y maquinaria s.a. - navitrans s.a	754000000	29 de january   de 2010  03:34 p.m.	adquisición  de tres (3) volquetas de eje sencillo de 7 metros cúbicos, un (1) retrocargador excavador sobre llantas, todos los equipos nuevos	navitrans	10051770,10148707
wilson miguel pinilla ortega	impulsores internacionales sas	16566540	21 de august    de 2015  10:58 a.m.	insumos para imágenes diagnóstica concerniente a películas secas para impresión digital	impulsores internacionales	10211803
disico sa	disico sa	5488000	05 de agosto de 2014	compra de medidores monofasicos y bifasicos	disico	10163683,10163694
andres duque pelaez	navitrans s.a.	4803340000	18 de december  de 2007  06:20 p.m.	el departamento de cundinamarca ¿ secretaría de obras públicas, requiere contratar, a precios unitarios fijos, la adquisicion de maquinaria destinada a la construccion, mejoramiento y rehabilitacion de la red vial terciaria de departamento¿.	navitrans	10051770,10148707
nestor diego villegas hurtado	navitrans s.a.s.	5000000	05 de may       de 2015  04:09 p.m.	prestar los servicios para realizar reparacion  y mantenimineto a todo costo  de la retroexcavadora 590 - sn de propiedad del  municipio   de alpujarra tolima	navitrans	10051770,10148707
ricardo duque pelaez	navitrans s.a	170000000	01 de december  de 2008  03:42 p.m.	compra volqueta con destino a la secretaria de obras publicas	navitrans	10051770,10148707
